prefix_percent,F0_mean,N_mean_base,N_std_base,N_mean_avg,N_std_avg
5.00,498.00,498.31,6.24,498.16,2.46
10.00,992.26,993.24,13.18,992.62,5.54
15.00,1484.06,1484.42,21.34,1485.05,8.40
20.00,1973.39,1973.02,26.52,1974.28,10.73
25.00,2461.47,2463.00,36.00,2463.24,14.45
30.00,2948.32,2949.69,38.91,2951.15,18.10
35.00,3433.79,3435.02,50.39,3437.22,21.50
40.00,3919.07,3916.94,60.67,3922.47,23.60
45.00,4403.31,4402.30,66.78,4407.70,24.10
50.00,4887.25,4887.66,74.48,4891.33,26.21
55.00,5370.96,5370.46,80.68,5373.39,29.96
60.00,5853.65,5854.69,80.57,5858.93,33.74
65.00,6336.89,6335.87,90.89,6341.93,37.13
70.00,6820.41,6831.78,102.31,6824.82,42.77
75.00,7303.50,7306.37,102.87,7307.86,44.28
80.00,7786.65,7782.62,117.21,7794.14,50.53
85.00,8269.10,8268.81,132.73,8280.30,55.86
90.00,8751.74,8742.82,136.18,8759.98,62.89
95.00,9233.74,9221.43,149.44,9242.68,69.95
100.00,9715.99,9716.34,172.55,9734.43,84.72
